wave,family,left_state,right_state,D_km_s,H_left_W_m2,H_right_W_m2,delta_H_W_m2
2,alfven_minus,X_L1,X_L2,227.27759088071326,52734.65571494668,52734.65571494666,-2.1827872842550278e-11
3,slow_minus,X_L2,X_L3,332.5885636136999,40144.2653368108,40144.26533681078,-2.1827872842550278e-11
4,entropy,X_L3,X_R3,376.5438229042648,34466.9667286961,34466.96672869594,-1.6007106751203537e-10
5,slow_plus,X_R3,X_R2,436.48170667847074,27206.823552604652,27206.82355260492,2.6921043172478676e-10
6,alfven_plus,X_R2,X_R1,543.5481107658363,14366.540655795474,14366.540655795478,3.637978807091713e-12
7,fast_plus,X_R1,X_R0,940.038099047125,-32957.50444249902,-32957.504442499034,-1.4551915228366852e-11
