family,D_km_s,H_left_W_m2,H_right_W_m2,delta_H_W_m2
alfven_minus,181.33115384719073,26782.032850980595,26782.032850980595,0.0
slow_minus,265.3524606748627,20387.82691292357,20387.826912923556,-1.4551915228366852e-11
entropy,300.4217248901539,17504.531369111784,17504.53136911171,-7.275957614183426e-11
slow_plus,348.24256627543576,13817.366061805295,13817.366061805433,1.382431946694851e-10
alfven_plus,433.66442646059267,7296.248711251345,7296.248711251346,9.094947017729282e-13
fast_plus,750.0,-16737.929824299037,-16737.929824299055,-1.8189894035458565e-11
