family,structure,speed_left_km_s,speed_right_km_s
fast_minus,rarefaction,-414.4750374365781,-307.109901038459
alfven_minus,rotation,181.33115384719073,181.33115384719073
slow_minus,shock,265.3524606748627,265.3524606748627
entropy,contact,300.4217248901539,300.4217248901539
slow_plus,shock,348.24256627543576,348.24256627543576
alfven_plus,rotation,433.66442646059267,433.66442646059267
fast_plus,shock,750.0,750.0
