order,family,structure,speed_left_km_s,speed_right_km_s
1,fast_minus,rarefaction,-519.4964350591557,-384.92667676099154
2,alfven_minus,rotation,227.27759088071326,227.27759088071326
3,slow_minus,shock,332.5885636136999,332.5885636136999
4,entropy,contact,376.5438229042648,376.5438229042648
5,slow_plus,shock,436.48170667847074,436.48170667847074
6,alfven_plus,rotation,543.5481107658363,543.5481107658363
7,fast_plus,shock,940.038099047125,940.038099047125
