id,rho_kg_m3,ne_cm3,p_Pa,T_MK,un_km_s,ut1_km_s,ut2_km_s,Bn_G,Bt1_G,Bt2_G
X_L0,3.3452438473800004e-13,200000000.0,0.011045192,2.0,300.0,0.0,0.0,1.0,4.92403876506104,0.8682408883346516
X_L1,2.986195844650808e-13,178533821.8013375,0.009140938351629069,1.8542018061838155,390.521101013298,-17.336550693092953,-3.056901639612322,1.0,4.374948065941895,0.7714213832238727
X_L2,2.986195844650808e-13,178533821.8013375,0.009140938351629069,1.8542018061838155,390.521101013298,-9.512111769125784,-61.009375174857254,1.0,4.422879153172329,0.41641508932479804
X_L3,3.935772538825447e-13,235305569.24320778,0.01457035693759152,2.242460007354869,376.5438229042648,-77.86334843699382,-67.44465982469805,1.0,4.274286588670381,0.40242506520765736
X_R3,2.881542238416528e-13,172276962.1517042,0.01457035693759152,3.062878065327818,376.54382290426423,-77.86334843699554,-67.44465982469819,1.0,4.274286588670374,0.40242506520765664
X_R2,2.7794598797760007e-13,166173828.07252616,0.013720081676610917,2.990066131773194,374.3424597573762,-88.73941641240032,-68.46864412556529,1.0,4.297891815198633,0.4046475027133812
X_R1,2.7794598797760007e-13,166173828.07252616,0.013720081676610917,2.990066131773194,374.3424597573762,-91.95547443289686,0.0,1.0,4.316898615511323,0.0
X_R0,1.6726219236900002e-13,100000000.0,0.004141947,1.5,0.0,0.0,0.0,1.0,2.5,0.0
